# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
labiot71;0;2021-10-13 22:00:01 UTC;-1;3.85;0.00;34.62;7.69;0.00;53.85
labiot71;2;2021-10-13 22:00:03 UTC;-1;5.77;0.11;6.67;1.70;0.00;85.75
labiot71;58;2021-10-13 22:01:01 UTC;-1;7.04;0.16;7.58;0.66;0.00;84.56
labiot71;60;2021-10-13 22:02:01 UTC;-1;6.72;0.01;7.11;0.55;0.00;85.60
labiot71;60;2021-10-13 22:03:01 UTC;-1;7.03;0.00;7.07;0.43;0.00;85.47
labiot71;60;2021-10-13 22:04:01 UTC;-1;6.73;0.01;6.89;0.37;0.00;85.99
labiot71;60;2021-10-13 22:05:01 UTC;-1;6.82;0.00;6.95;0.34;0.00;85.88
labiot71;60;2021-10-13 22:06:01 UTC;-1;6.81;0.01;7.01;0.43;0.00;85.73
labiot71;60;2021-10-13 22:07:01 UTC;-1;6.93;0.02;7.03;0.40;0.00;85.62
labiot71;60;2021-10-13 22:08:01 UTC;-1;7.39;0.01;7.64;0.46;0.00;84.51
labiot71;60;2021-10-13 22:09:02 UTC;-1;6.92;0.00;7.02;0.37;0.00;85.69
labiot71;59;2021-10-13 22:10:01 UTC;-1;6.53;0.01;6.85;0.49;0.00;86.12
labiot71;3;2021-10-13 22:10:03 UTC;-1;15.16;0.00;10.41;0.20;0.00;74.23
labiot71;57;2021-10-13 22:11:01 UTC;-1;6.35;0.01;7.10;0.53;0.00;86.01
labiot71;60;2021-10-13 22:12:01 UTC;-1;6.66;0.01;7.00;0.48;0.00;85.85
labiot71;60;2021-10-13 22:13:01 UTC;-1;7.22;0.00;7.16;0.38;0.00;85.23
labiot71;60;2021-10-13 22:14:01 UTC;-1;6.75;0.01;7.15;0.44;0.00;85.66
labiot71;60;2021-10-13 22:15:01 UTC;-1;7.08;0.01;7.62;0.43;0.00;84.85
labiot71;60;2021-10-13 22:16:01 UTC;-1;7.01;0.01;7.55;0.42;0.00;85.00
labiot71;60;2021-10-13 22:17:01 UTC;-1;6.22;0.00;6.84;0.45;0.00;86.48
labiot71;60;2021-10-13 22:18:01 UTC;-1;7.25;0.01;7.19;0.40;0.00;85.14
labiot71;60;2021-10-13 22:19:01 UTC;-1;6.87;0.01;7.15;0.33;0.00;85.65
labiot71;60;2021-10-13 22:20:01 UTC;-1;6.68;0.00;7.01;0.43;0.00;85.88
labiot71;2;2021-10-13 22:20:03 UTC;-1;8.55;0.14;14.64;0.14;0.00;76.52
labiot71;58;2021-10-13 22:21:01 UTC;-1;6.83;0.00;7.01;0.50;0.00;85.66
labiot71;60;2021-10-13 22:22:01 UTC;-1;6.63;0.01;7.18;0.41;0.00;85.78
labiot71;59;2021-10-13 22:23:01 UTC;-1;6.89;0.02;7.24;0.38;0.00;85.48
labiot71;60;2021-10-13 22:24:01 UTC;-1;6.74;0.01;6.68;0.42;0.00;86.15
labiot71;60;2021-10-13 22:25:01 UTC;-1;6.78;0.01;7.23;0.39;0.00;85.59
labiot71;60;2021-10-13 22:26:01 UTC;-1;6.64;0.00;7.04;0.47;0.00;85.85
labiot71;60;2021-10-13 22:27:01 UTC;-1;6.32;0.00;7.05;0.43;0.00;86.20
labiot71;60;2021-10-13 22:28:01 UTC;-1;7.18;0.01;7.38;0.42;0.00;85.01
labiot71;60;2021-10-13 22:29:01 UTC;-1;6.84;0.01;7.11;0.34;0.00;85.70
labiot71;60;2021-10-13 22:30:01 UTC;-1;6.78;0.01;7.15;0.49;0.00;85.57
labiot71;2;2021-10-13 22:30:03 UTC;-1;6.69;0.00;6.82;0.51;0.00;85.98
labiot71;58;2021-10-13 22:31:01 UTC;-1;6.66;0.00;7.02;0.56;0.00;85.76
labiot71;60;2021-10-13 22:32:01 UTC;-1;6.97;0.02;7.29;0.47;0.00;85.25
labiot71;60;2021-10-13 22:33:01 UTC;-1;7.13;0.01;7.17;0.41;0.00;85.28
labiot71;60;2021-10-13 22:34:01 UTC;-1;6.71;0.00;6.84;0.40;0.00;86.05
labiot71;60;2021-10-13 22:35:01 UTC;-1;6.63;0.01;7.05;0.32;0.00;85.98
labiot71;60;2021-10-13 22:36:02 UTC;-1;6.42;0.02;7.08;0.40;0.00;86.09
labiot71;59;2021-10-13 22:37:01 UTC;-1;6.90;0.01;7.09;0.47;0.00;85.52
labiot71;60;2021-10-13 22:38:01 UTC;-1;6.94;0.00;7.05;0.41;0.00;85.60
labiot71;60;2021-10-13 22:39:01 UTC;-1;6.78;0.00;6.92;0.46;0.00;85.83
labiot71;60;2021-10-13 22:40:01 UTC;-1;6.68;0.02;7.25;0.53;0.00;85.53
labiot71;2;2021-10-13 22:40:03 UTC;-1;6.15;0.00;6.15;0.23;0.00;87.47
labiot71;58;2021-10-13 22:41:01 UTC;-1;6.51;0.01;6.94;0.38;0.00;86.15
labiot71;60;2021-10-13 22:42:01 UTC;-1;6.68;0.01;7.16;0.59;0.00;85.57
