# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
labiot72;60;2021-10-13 22:55:01 UTC;-1;10.61;0.00;13.09;0.39;0.00;75.90
labiot72;60;2021-10-13 22:56:01 UTC;-1;10.26;0.00;12.83;0.33;0.00;76.57
labiot72;60;2021-10-13 22:57:01 UTC;-1;10.89;0.02;13.05;0.37;0.00;75.66
labiot72;60;2021-10-13 22:58:01 UTC;-1;10.30;0.01;12.87;0.42;0.00;76.40
labiot72;60;2021-10-13 22:59:01 UTC;-1;10.24;0.00;12.84;0.38;0.00;76.54
labiot72;58;2021-10-13 23:00:00 UTC;-1;10.92;0.00;14.19;0.41;0.00;74.49
labiot72;1;2021-10-13 23:00:01 UTC;-1;12.86;0.00;15.11;0.96;0.00;71.06
labiot72;60;2021-10-13 23:01:01 UTC;-1;10.32;0.02;12.91;0.37;0.00;76.38
labiot72;60;2021-10-13 23:02:01 UTC;-1;10.65;0.00;12.74;0.42;0.00;76.18
labiot72;60;2021-10-13 23:03:01 UTC;-1;10.34;0.01;12.89;0.40;0.00;76.36
labiot72;60;2021-10-13 23:04:01 UTC;-1;10.68;0.01;13.47;0.42;0.00;75.42
labiot72;60;2021-10-13 23:05:01 UTC;-1;10.58;0.02;12.60;0.42;0.00;76.39
labiot72;60;2021-10-13 23:06:01 UTC;-1;10.32;0.01;12.85;0.51;0.00;76.31
labiot72;60;2021-10-13 23:07:01 UTC;-1;10.94;0.00;13.18;0.44;0.00;75.44
labiot72;60;2021-10-13 23:08:01 UTC;-1;10.05;0.02;12.77;0.40;0.00;76.76
labiot72;60;2021-10-13 23:09:01 UTC;-1;10.50;0.00;12.94;0.34;0.00;76.22
labiot72;58;2021-10-13 23:10:00 UTC;-1;10.41;0.03;13.09;0.41;0.00;76.07
labiot72;2;2021-10-13 23:10:01 UTC;-1;7.67;0.00;11.82;0.16;0.00;80.35
labiot72;60;2021-10-13 23:11:01 UTC;-1;10.22;0.00;12.52;0.40;0.00;76.86
labiot72;60;2021-10-13 23:12:01 UTC;-1;10.21;0.01;13.17;0.38;0.00;76.24
labiot72;60;2021-10-13 23:13:02 UTC;-1;10.48;0.00;13.07;0.46;0.00;75.99
labiot72;59;2021-10-13 23:14:01 UTC;-1;10.27;0.01;12.84;0.40;0.00;76.47
labiot72;60;2021-10-13 23:15:01 UTC;-1;10.29;0.00;13.08;0.47;0.00;76.16
labiot72;60;2021-10-13 23:16:01 UTC;-1;10.24;0.01;12.90;0.38;0.00;76.47
labiot72;60;2021-10-13 23:17:01 UTC;-1;10.48;0.00;13.11;0.55;0.00;75.85
labiot72;60;2021-10-13 23:18:01 UTC;-1;10.29;0.00;12.91;0.37;0.00;76.43
labiot72;60;2021-10-13 23:19:01 UTC;-1;10.22;0.01;12.97;0.39;0.00;76.41
labiot72;59;2021-10-13 23:20:00 UTC;-1;10.32;0.00;12.71;0.37;0.00;76.60
labiot72;1;2021-10-13 23:20:01 UTC;-1;11.99;0.00;18.35;0.19;0.00;69.48
labiot72;60;2021-10-13 23:21:01 UTC;-1;10.09;0.01;12.76;0.47;0.00;76.67
labiot72;60;2021-10-13 23:22:01 UTC;-1;10.24;0.02;13.08;0.39;0.00;76.27
labiot72;60;2021-10-13 23:23:01 UTC;-1;10.38;0.02;13.20;0.44;0.00;75.97
labiot72;60;2021-10-13 23:24:01 UTC;-1;10.12;0.00;12.79;0.46;0.00;76.64
labiot72;60;2021-10-13 23:25:01 UTC;-1;10.19;0.01;12.86;0.57;0.00;76.36
labiot72;60;2021-10-13 23:26:02 UTC;-1;10.52;0.00;12.98;0.43;0.00;76.06
labiot72;59;2021-10-13 23:27:01 UTC;-1;10.52;0.01;13.01;0.36;0.00;76.10
labiot72;60;2021-10-13 23:28:01 UTC;-1;10.43;0.01;13.03;0.43;0.00;76.10
labiot72;60;2021-10-13 23:29:01 UTC;-1;10.41;0.02;12.96;0.42;0.00;76.19
labiot72;59;2021-10-13 23:30:00 UTC;-1;10.31;0.01;12.96;0.39;0.00;76.33
labiot72;1;2021-10-13 23:30:01 UTC;-1;10.60;0.00;13.98;0.24;0.00;75.18
labiot72;60;2021-10-13 23:31:01 UTC;-1;10.46;0.01;12.90;0.40;0.00;76.23
labiot72;60;2021-10-13 23:32:01 UTC;-1;10.51;0.00;13.23;0.43;0.00;75.83
labiot72;60;2021-10-13 23:33:01 UTC;-1;10.16;0.01;13.03;0.41;0.00;76.39
labiot72;60;2021-10-13 23:34:01 UTC;-1;9.61;0.00;12.71;0.43;0.00;77.24
labiot72;60;2021-10-13 23:35:01 UTC;-1;10.43;0.01;13.25;0.37;0.00;75.94
labiot72;60;2021-10-13 23:36:01 UTC;-1;10.45;0.02;13.09;0.37;0.00;76.07
labiot72;60;2021-10-13 23:37:01 UTC;-1;10.47;0.00;12.92;0.33;0.00;76.28
labiot72;60;2021-10-13 23:38:01 UTC;-1;10.26;0.01;12.57;0.47;0.00;76.69
labiot72;60;2021-10-13 23:39:02 UTC;-1;10.44;0.02;12.96;0.36;0.00;76.22
labiot72;58;2021-10-13 23:40:00 UTC;-1;10.49;0.00;12.85;0.40;0.00;76.27
labiot72;1;2021-10-13 23:40:01 UTC;-1;11.50;0.00;15.63;0.88;0.00;71.98
labiot72;60;2021-10-13 23:41:01 UTC;-1;10.38;0.02;13.06;0.50;0.00;76.05
labiot72;60;2021-10-13 23:42:01 UTC;-1;10.38;0.01;12.94;0.46;0.00;76.21
labiot72;60;2021-10-13 23:43:01 UTC;-1;10.35;0.02;12.59;0.47;0.00;76.57
labiot72;60;2021-10-13 23:44:01 UTC;-1;10.41;0.00;13.00;0.40;0.00;76.19
labiot72;60;2021-10-13 23:45:01 UTC;-1;9.88;0.01;12.88;0.41;0.00;76.83
labiot72;60;2021-10-13 23:46:01 UTC;-1;10.19;0.01;12.56;0.39;0.00;76.85
labiot72;60;2021-10-13 23:47:01 UTC;-1;10.53;0.01;12.98;0.35;0.00;76.13
labiot72;60;2021-10-13 23:48:01 UTC;-1;10.27;0.00;12.95;0.40;0.00;76.38
labiot72;60;2021-10-13 23:49:01 UTC;-1;10.54;0.01;12.79;0.46;0.00;76.20
labiot72;58;2021-10-13 23:50:00 UTC;-1;10.34;0.01;13.25;0.38;0.00;76.02
labiot72;2;2021-10-13 23:50:01 UTC;-1;10.02;0.00;11.27;0.31;0.00;78.40
labiot72;60;2021-10-13 23:51:01 UTC;-1;10.53;0.01;12.98;0.61;0.00;75.87
labiot72;60;2021-10-13 23:52:01 UTC;-1;10.65;0.00;13.30;0.49;0.00;75.56
labiot72;59;2021-10-13 23:53:01 UTC;-1;10.32;0.01;12.81;0.41;0.00;76.45
labiot72;60;2021-10-13 23:54:01 UTC;-1;10.45;0.01;12.92;0.42;0.00;76.20
labiot72;60;2021-10-13 23:55:01 UTC;-1;10.31;0.01;13.18;0.40;0.00;76.10
labiot72;60;2021-10-13 23:56:01 UTC;-1;10.36;0.00;12.92;0.39;0.00;76.33
labiot72;60;2021-10-13 23:57:01 UTC;-1;10.39;0.01;13.22;0.46;0.00;75.92
labiot72;60;2021-10-13 23:58:01 UTC;-1;10.39;0.01;12.87;0.37;0.00;76.37
labiot72;60;2021-10-13 23:59:01 UTC;-1;10.22;0.01;12.38;0.40;0.00;76.99
labiot72;59;2021-10-14 00:00:00 UTC;-1;10.27;0.01;13.09;0.50;0.00;76.13
labiot72;1;2021-10-14 00:00:01 UTC;-1;11.67;0.00;14.54;0.00;0.00;73.79
labiot72;60;2021-10-14 00:01:01 UTC;-1;10.51;0.01;13.08;0.52;0.00;75.89
labiot72;60;2021-10-14 00:02:01 UTC;-1;10.46;0.00;12.84;0.42;0.00;76.28
labiot72;60;2021-10-14 00:03:01 UTC;-1;10.40;0.01;12.95;0.45;0.00;76.19
labiot72;60;2021-10-14 00:04:01 UTC;-1;10.46;0.01;12.81;0.37;0.00;76.34
labiot72;60;2021-10-14 00:05:01 UTC;-1;9.93;0.02;12.59;0.41;0.00;77.05
labiot72;60;2021-10-14 00:06:02 UTC;-1;10.52;0.00;13.10;0.38;0.00;75.99
labiot72;59;2021-10-14 00:07:01 UTC;-1;10.62;0.00;13.30;0.36;0.00;75.71
labiot72;60;2021-10-14 00:08:01 UTC;-1;10.21;0.01;12.88;0.41;0.00;76.50
labiot72;60;2021-10-14 00:09:01 UTC;-1;10.24;0.01;13.17;0.39;0.00;76.19
labiot72;59;2021-10-14 00:10:00 UTC;-1;10.38;0.01;13.17;0.49;0.00;75.95
labiot72;1;2021-10-14 00:10:01 UTC;-1;10.49;0.00;13.17;0.00;0.00;76.34
labiot72;60;2021-10-14 00:11:01 UTC;-1;10.39;0.01;12.67;0.43;0.00;76.50
labiot72;60;2021-10-14 00:12:01 UTC;-1;10.59;0.00;13.01;0.41;0.00;75.99
labiot72;60;2021-10-14 00:13:01 UTC;-1;10.13;0.01;12.94;0.37;0.00;76.55
labiot72;60;2021-10-14 00:14:01 UTC;-1;10.06;0.02;13.32;0.52;0.00;76.08
labiot72;60;2021-10-14 00:15:01 UTC;-1;10.14;0.01;13.04;0.40;0.00;76.40
labiot72;60;2021-10-14 00:16:01 UTC;-1;10.32;0.01;13.05;0.42;0.00;76.21
labiot72;60;2021-10-14 00:17:01 UTC;-1;10.64;0.00;13.08;0.45;0.00;75.82
labiot72;60;2021-10-14 00:18:01 UTC;-1;9.94;0.00;12.35;0.38;0.00;77.33
labiot72;60;2021-10-14 00:19:02 UTC;-1;10.62;0.00;13.11;0.52;0.00;75.75
labiot72;58;2021-10-14 00:20:00 UTC;-1;10.32;0.01;13.08;0.39;0.00;76.19
labiot72;1;2021-10-14 00:20:01 UTC;-1;15.00;0.00;29.41;0.29;0.00;55.29
labiot72;60;2021-10-14 00:21:01 UTC;-1;10.21;0.01;12.66;0.39;0.00;76.73
labiot72;60;2021-10-14 00:22:01 UTC;-1;10.73;0.00;12.86;0.38;0.00;76.03
labiot72;60;2021-10-14 00:23:01 UTC;-1;10.49;0.01;12.90;0.33;0.00;76.27
labiot72;60;2021-10-14 00:24:01 UTC;-1;10.30;0.00;12.97;0.43;0.00;76.29
labiot72;60;2021-10-14 00:25:01 UTC;-1;10.38;0.02;13.36;0.52;0.00;75.72
labiot72;60;2021-10-14 00:26:01 UTC;-1;10.58;0.02;13.42;0.40;0.00;75.58
labiot72;60;2021-10-14 00:27:01 UTC;-1;10.81;0.00;12.73;0.38;0.00;76.07
labiot72;60;2021-10-14 00:28:01 UTC;-1;10.45;0.01;13.28;0.40;0.00;75.86
labiot72;60;2021-10-14 00:29:01 UTC;-1;10.51;0.01;13.18;0.39;0.00;75.91
labiot72;58;2021-10-14 00:30:00 UTC;-1;10.41;0.00;12.85;0.37;0.00;76.37
labiot72;2;2021-10-14 00:30:01 UTC;-1;9.10;0.00;13.27;0.46;0.00;77.16
labiot72;60;2021-10-14 00:31:01 UTC;-1;10.24;0.01;12.99;0.40;0.00;76.37
labiot72;60;2021-10-14 00:32:02 UTC;-1;10.70;0.01;13.26;0.42;0.00;75.61
labiot72;59;2021-10-14 00:33:01 UTC;-1;9.86;0.01;12.78;0.39;0.00;76.96
labiot72;60;2021-10-14 00:34:01 UTC;-1;10.53;0.01;13.09;0.37;0.00;75.99
labiot72;60;2021-10-14 00:35:01 UTC;-1;10.49;0.00;12.75;0.43;0.00;76.33
labiot72;60;2021-10-14 00:36:01 UTC;-1;10.35;0.01;12.87;0.53;0.00;76.26
labiot72;60;2021-10-14 00:37:01 UTC;-1;10.47;0.01;12.90;0.44;0.00;76.17
labiot72;60;2021-10-14 00:38:01 UTC;-1;10.32;0.01;12.88;0.43;0.00;76.36
labiot72;60;2021-10-14 00:39:01 UTC;-1;10.28;0.01;13.06;0.36;0.00;76.28
labiot72;59;2021-10-14 00:40:00 UTC;-1;10.24;0.00;12.84;0.37;0.00;76.56
labiot72;1;2021-10-14 00:40:01 UTC;-1;12.41;0.00;14.21;0.18;0.00;73.20
labiot72;60;2021-10-14 00:41:01 UTC;-1;10.35;0.01;12.81;0.42;0.00;76.42
labiot72;60;2021-10-14 00:42:01 UTC;-1;10.68;0.01;13.37;0.42;0.00;75.52
labiot72;60;2021-10-14 00:43:01 UTC;-1;9.87;0.01;12.62;0.33;0.00;77.17
labiot72;60;2021-10-14 00:44:01 UTC;-1;10.43;0.00;13.21;0.51;0.00;75.84
labiot72;60;2021-10-14 00:45:01 UTC;-1;10.32;0.01;13.04;0.51;0.00;76.12
labiot72;59;2021-10-14 00:46:01 UTC;-1;10.33;0.01;12.62;0.40;0.00;76.63
