# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
fleet-master;60;2021-10-06 02:51:01 UTC;-1;8.86;0.00;6.00;9.09;0.18;75.86
fleet-master;60;2021-10-06 02:52:01 UTC;-1;9.26;0.00;5.92;7.34;0.23;77.25
fleet-master;60;2021-10-06 02:53:01 UTC;-1;8.72;0.00;5.90;7.98;0.19;77.22
fleet-master;60;2021-10-06 02:54:01 UTC;-1;9.04;0.01;5.99;7.78;0.32;76.85
fleet-master;60;2021-10-06 02:55:01 UTC;-1;8.72;0.00;5.76;8.05;0.18;77.29
fleet-master;60;2021-10-06 02:56:01 UTC;-1;8.74;0.00;5.81;7.79;0.25;77.42
fleet-master;60;2021-10-06 02:57:01 UTC;-1;8.94;0.00;6.26;8.31;0.19;76.31
fleet-master;60;2021-10-06 02:58:01 UTC;-1;9.00;0.00;5.76;7.56;0.24;77.44
fleet-master;60;2021-10-06 02:59:01 UTC;-1;9.09;0.01;5.80;7.55;0.21;77.35
fleet-master;59;2021-10-06 03:00:01 UTC;-1;9.57;0.00;5.83;7.42;0.28;76.90
fleet-master;60;2021-10-06 03:01:01 UTC;-1;9.41;0.00;6.26;9.90;0.19;74.25
fleet-master;60;2021-10-06 03:02:01 UTC;-1;9.50;0.00;5.79;8.56;0.22;75.93
fleet-master;60;2021-10-06 03:03:01 UTC;-1;9.16;0.00;5.80;8.07;0.18;76.80
fleet-master;60;2021-10-06 03:04:01 UTC;-1;10.12;0.01;6.03;8.35;0.24;75.26
fleet-master;60;2021-10-06 03:05:01 UTC;-1;9.93;0.02;5.82;7.91;0.19;76.14
fleet-master;60;2021-10-06 03:06:01 UTC;-1;10.07;0.00;6.06;6.95;0.31;76.60
fleet-master;60;2021-10-06 03:07:01 UTC;-1;9.74;0.00;5.86;8.03;0.18;76.19
fleet-master;60;2021-10-06 03:08:01 UTC;-1;10.18;0.00;6.10;7.49;0.30;75.93
fleet-master;60;2021-10-06 03:09:01 UTC;-1;10.09;0.00;6.13;7.47;0.19;76.11
fleet-master;60;2021-10-06 03:10:01 UTC;-1;9.47;0.00;5.85;7.48;0.24;76.96
fleet-master;60;2021-10-06 03:11:01 UTC;-1;9.60;0.00;5.78;8.37;0.19;76.06
fleet-master;60;2021-10-06 03:12:01 UTC;-1;9.29;0.00;6.23;7.38;0.28;76.81
fleet-master;60;2021-10-06 03:13:01 UTC;-1;9.49;0.00;5.74;8.12;0.21;76.43
fleet-master;60;2021-10-06 03:14:01 UTC;-1;9.26;0.00;5.82;8.34;0.24;76.34
fleet-master;60;2021-10-06 03:15:01 UTC;-1;9.69;0.00;6.00;8.65;0.22;75.44
fleet-master;60;2021-10-06 03:16:01 UTC;-1;9.56;0.00;6.17;9.81;0.26;74.19
fleet-master;60;2021-10-06 03:17:01 UTC;-1;9.51;0.00;5.96;7.39;0.21;76.92
fleet-master;60;2021-10-06 03:18:01 UTC;-1;9.32;0.00;5.77;8.86;0.33;75.71
fleet-master;60;2021-10-06 03:19:01 UTC;-1;9.56;0.00;6.11;7.76;0.21;76.36
fleet-master;60;2021-10-06 03:20:01 UTC;-1;9.59;0.00;6.19;7.49;0.25;76.49
fleet-master;60;2021-10-06 03:21:01 UTC;-1;9.47;0.00;6.24;7.80;0.22;76.25
fleet-master;60;2021-10-06 03:22:01 UTC;-1;9.75;0.00;5.65;9.12;0.29;75.18
